"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"277","Echinocereus_barthelowanus",0.9,"653803","Echinocereus barthelowanus",1,"species","","",NA,"Britton & Rose","Cactaceae","Echinocereus","Echinocereus",1,"barthelowanus","barthelowanus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/b0d0cb62-6f16-42c3-af0c-a7bc23d91edf","","Y","Accepted","Echinocereus barthelowanus","Echinocereus barthelowanus","Britton & Rose","653803","species","https://caryophyllales.org/cdm_dataportal/taxon/b0d0cb62-6f16-42c3-af0c-a7bc23d91edf","","Cactaceae","1","1","cact","0",""
"278","Echinocereus_brandegeei",0.9,"1271191","Echinocereus brandegeei",1,"species","","",NA,"(J.M.Coult.) K.Schum.","Cactaceae","Echinocereus","Echinocereus",1,"brandegeei","brandegeei",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/310900f4-b15f-4bc0-8def-9d2b639b77d3","","Y","Accepted","Echinocereus brandegeei","Echinocereus brandegeei","(J.M.Coult.) K.Schum.","1271191","species","https://caryophyllales.org/cdm_dataportal/taxon/310900f4-b15f-4bc0-8def-9d2b639b77d3","","Cactaceae","1","1","cact","0",""
"279","Echinocereus_subinermis",0.9,"654184","Echinocereus subinermis",1,"species","","",NA,"Salm-Dyck ex Scheer","Cactaceae","Echinocereus","Echinocereus",1,"subinermis","subinermis",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/1355e372-749f-415d-8e7c-2be266573b60","","Y","Accepted","Echinocereus subinermis","Echinocereus subinermis","Salm-Dyck ex Scheer","654184","species","https://caryophyllales.org/cdm_dataportal/taxon/1355e372-749f-415d-8e7c-2be266573b60","","Cactaceae","1","1","cact","0",""
"280","Echinocereus_laui",0.9,"653961","Echinocereus laui",1,"species","","",NA,"G.Frank","Cactaceae","Echinocereus","Echinocereus",1,"laui","laui",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/540958a0-e5e6-4bef-814c-75e600ef42f8","","Y","Accepted","Echinocereus laui","Echinocereus laui","G.Frank","653961","species","https://caryophyllales.org/cdm_dataportal/taxon/540958a0-e5e6-4bef-814c-75e600ef42f8","","Cactaceae","1","1","cact","0",""
"281","Echinocereus_knippelianus",0.9,"653951","Echinocereus knippelianus",1,"species","","",NA,"Liebner","Cactaceae","Echinocereus","Echinocereus",1,"knippelianus","knippelianus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/9c4390e3-3423-4026-a8d3-ac8a51bd5a8c","","Y","Accepted","Echinocereus knippelianus","Echinocereus knippelianus","Liebner","653951","species","https://caryophyllales.org/cdm_dataportal/taxon/9c4390e3-3423-4026-a8d3-ac8a51bd5a8c","","Cactaceae","1","1","cact","0",""
"282","Echinocereus_pentalophus",0.9,"1219956","Echinocereus pentalophus",1,"species","","",NA,"(DC.) J.N.Haage","Cactaceae","Echinocereus","Echinocereus",1,"pentalophus","pentalophus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/db419259-4f48-4cc5-a5e3-89607b162b01","","Y","Accepted","Echinocereus pentalophus","Echinocereus pentalophus","(DC.) J.N.Haage","1219956","species","https://caryophyllales.org/cdm_dataportal/taxon/db419259-4f48-4cc5-a5e3-89607b162b01","","Cactaceae","1","1","cact","0",""
"283","Echinocereus_enneacanthus",0.9,"653896","Echinocereus enneacanthus",1,"species","","",NA,"Engelm.","Cactaceae","Echinocereus","Echinocereus",1,"enneacanthus","enneacanthus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/8da1640e-e4e5-4ced-9a0f-6f957d0936e9","","Y","Accepted","Echinocereus enneacanthus","Echinocereus enneacanthus","Engelm.","653896","species","https://caryophyllales.org/cdm_dataportal/taxon/8da1640e-e4e5-4ced-9a0f-6f957d0936e9","","Cactaceae","1","1","cact","0",""
"284","Echinocereus_berlandieri",0.9,"653804","Echinocereus berlandieri",1,"species","","",NA,"(Engelm.) Haage","Cactaceae","Echinocereus","Echinocereus",1,"berlandieri","berlandieri",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/7d90f046-9d8e-446f-bd72-919f04cefe32","","Y","Accepted","Echinocereus berlandieri","Echinocereus berlandieri","(Engelm.) Haage","653804","species","https://caryophyllales.org/cdm_dataportal/taxon/7d90f046-9d8e-446f-bd72-919f04cefe32","","Cactaceae","1","1","cact","0",""
"285","Echinocereus_stramineus",0.9,"654178","Echinocereus stramineus",1,"species","","",NA,"(Engelm.) F.Seitz","Cactaceae","Echinocereus","Echinocereus",1,"stramineus","stramineus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/bc0be2b5-c8bf-4c95-8692-f48088deddbc","","Y","Accepted","Echinocereus stramineus","Echinocereus stramineus","(Engelm.) F.Seitz","654178","species","https://caryophyllales.org/cdm_dataportal/taxon/bc0be2b5-c8bf-4c95-8692-f48088deddbc","","Cactaceae","1","1","cact","0",""
"286","Echinocereus_rayonesensis",0.9,"654099","Echinocereus rayonesensis",1,"species","","",NA,"N.P.Taylor","Cactaceae","Echinocereus","Echinocereus",1,"rayonesensis","rayonesensis",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/76ccd74a-282a-4b09-b2c0-3bd54b64e3f9","","Y","Accepted","Echinocereus rayonesensis","Echinocereus rayonesensis","N.P.Taylor","654099","species","https://caryophyllales.org/cdm_dataportal/taxon/76ccd74a-282a-4b09-b2c0-3bd54b64e3f9","","Cactaceae","1","1","cact","0",""
