"","species","nicheSize_GFDL","nicheSize_MPI","nicheSize_UKESM","nicheDensity_GFDL","nicheDensity_MPI","nicheDensity_UKESM"
"542","Rhipsalis pulchra",9.12951572577236,9.6763986616864,8.06771668574022,706629,840986,8e+05
"543","Rhipsalis puniceodiscus",13.4469935627906,12.8720539648664,17.2678484181379,1085438,1196354,1301060
"544","Rhipsalis teres",30.8173704734266,30.909767473675,26.4203777855165,1849111,1954763,1939564
"545","Rhipsalis trigonoides",2.85219563626401,3.4534486908944,1.85495993138439,154980,158514,94972
"546","Rhipsalis tucumanensis",15.5080410825345,17.1111026294684,12.3724851603477,691290,751220,952830
"547","Sclerocactus brevihamatus",5.58387412050407,5.09863883997559,5.07868054534114,586353,462710,348367
"548","Sclerocactus cloverae",1.23518212524948,1.29333460084654,1.07049468688549,120640,101701,196702
"549","Sclerocactus erectocentrus",2.68247844845846,2.60949155185717,2.51139603226375,345786,312331,297923
"550","Sclerocactus intertextus",6.95026396367109,6.43174530564596,9.94208117353648,647069,454969,1177120
"551","Sclerocactus johnsonii",6.5321027025136,7.25499954216122,6.47281793275607,700836,554100,910580
"552","Sclerocactus papyracanthus",3.00250684825,2.43314102024849,0.985463128451275,212179,152316,175347
"553","Sclerocactus parviflorus",8.01039577873417,8.40488375141543,10.2291847136111,765249,656932,1377713
"554","Sclerocactus polyancistrus",10.0929053696023,10.1463175611112,7.86759084520553,1058761,931912,689029
"555","Sclerocactus scheeri",17.6864702197925,17.7699786168838,17.5843527493516,1229142,1181232,1026840
"556","Sclerocactus unguispinus",6.60722094201084,6.49425019605323,2.72052423318551,652532,657526,299390
"557","Sclerocactus warnockii",6.04274383934736,6.46362854144106,2.89612546831603,653402,453588,315167
"558","Sclerocactus whipplei",1.21266911389983,1.22090168106236,0.220250254433111,97047,113803,52151
"559","Sclerocactus wrightiae",1.34572091066017,1.44802859720874,1.05239587597184,125734,96678,150553
"560","Selenicereus costaricensis",25.1886190294652,27.1436200134755,23.3976652660323,600988,531021,950076
"561","Selenicereus monacanthus",23.9129883464583,26.716104257398,17.2658805687623,1748536,1799874,1130932
"562","Selenicereus ocamponis",19.7225834558552,20.6658663599351,20.2331093907048,1489619,1277546,1336175
"563","Selenicereus setaceus",29.2276399861105,32.1158008084486,33.3293196315828,2355144,2375288,2391799
"564","Selenicereus spinulosus",41.0628895743792,43.7814423260278,31.4632674419003,2971691,2907601,2231413
"565","Selenicereus triangularis",7.98263401407289,7.62595404132278,19.9573248615793,751983,581487,1760917
"566","Selenicereus vagans",22.6791200295919,23.5579999797768,17.8503999993612,1658322,1652445,1436663
"567","Soehrensia candicans",28.3911357927504,29.073054049744,20.7156976136577,1857136,1935562,1703016
"568","Soehrensia formosa",30.8845617759617,30.5165243519824,15.739372866055,1808718,1763223,1296045
"569","Soehrensia schickendantzii",23.0817698838311,23.9572741651048,16.725915326753,951008,1190868,1220260
"570","Soehrensia strigosa",11.6304720270281,11.9035859887542,3.90236985290574,736575,914856,297479
"571","Soehrensia tarijensis",18.1177060890103,19.7418142186956,23.913848646809,458407,738258,1038236
"572","Soehrensia volliana",9.87850675733822,11.7315393924454,6.06397444228881,184823,343431,370970
"573","Stenocactus coptonogonus",2.98273256642611,2.99020927027483,3.19852511649835,380644,326983,306957
"574","Stenocactus crispatus",6.4673987809748,6.63480696651987,6.23471145227707,662512,676859,372396
"575","Stenocactus dichroacanthus",10.8278400973427,11.6578498770665,8.29299302140449,1073099,882346,568732
"576","Stenocactus lamellosus",5.24883592883136,5.28913491529461,6.69620448109913,548260,314194,367617
"577","Stenocactus multicostatus",11.2119491184165,12.2212265672505,9.31020594697296,978514,941445,605814
"578","Stenocactus ochoterenianus",5.8690592267923,6.16211932775841,4.21124961153777,658225,569230,362963
"579","Stenocactus pentacanthus",7.92568387667523,7.63664131918972,7.01049792077965,817430,550147,474297
"580","Stenocactus phyllacanthus",5.95916964746703,6.09755317095638,6.23501795954818,618412,456955,434625
"581","Stenocereus alamosensis",20.4574166918961,20.9233631739686,14.8646803942721,1154560,1052328,1152306
"582","Stenocereus beneckei",3.15277107857558,3.31698492023637,1.4433904322221,221108,151661,56188
"583","Stenocereus chacalapensis",1.21664707807257,1.21518592888019,1.7463071323958,120115,109093,83952
"584","Stenocereus eruca",1.42047135039669,1.51974283198146,1.07924354247188,157555,102332,94986
"585","Stenocereus fricii",1.25508674592111,1.33287176796917,1.0449962833343,66227,64597,58571
"586","Stenocereus griseus",39.2483040506758,41.7734426348404,37.8163506853996,2685106,2718531,2868634
"587","Stenocereus gummosus",13.6018398059629,14.532102818738,13.286111624089,1239615,1049924,836020
"588","Stenocereus heptagonus",4.11715163419368,4.34528299882097,5.96683232101029,347806,329695,601829
"589","Stenocereus huastecorum",22.0680519993902,23.1881110965181,14.7293907034604,1388465,1313809,656697
"590","Stenocereus kerberi",6.02213850321416,6.33379627184499,10.5489335784545,419935,450325,846331
"591","Stenocereus martinezii",2.62812001552631,2.79727565721235,2.50645986166633,178726,138367,220087
"592","Stenocereus montanus",8.41157693667073,8.21356618476401,3.79043540950481,596953,492714,286832
"593","Stenocereus pruinosus",40.7994799573445,43.5327437482503,32.1002274397301,3018548,3034593,2153368
"594","Stenocereus queretaroensis",18.1092038611663,17.5709878401923,13.8189002415228,1208816,1086801,804620
"595","Stenocereus standleyi",8.71426442331442,8.61068172641608,12.0718314568818,639911,683381,941621
"596","Stenocereus stellatus",10.4261005800988,10.9190386000641,5.61362972947905,783073,717894,290826
"597","Stenocereus thurberi",26.8583742542464,27.5678170997096,22.665070705556,1677958,1613869,1914388
"598","Stenocereus treleasei",6.85566464146609,8.04787940256731,10.4139953154483,573351,503803,729351
"599","Stephanocereus leucostele",8.13471022688224,8.49773436101388,3.16873641319132,416983,417321,178843
"600","Stephanocereus luetzelburgii",5.0689352755695,5.24244813929906,2.05790571142833,165313,182613,143425
"601","Stetsonia coryne",36.1389197825909,37.5543411433225,29.784834129933,1896147,2172141,2256532
"602","Strombocactus disciformis",6.8141497147867,6.80019783955874,2.04809764615455,719030,481758,153718
"603","Tacinga funalis",6.94092261086931,8.21078528597135,6.85061940297343,362025,352126,399282
"604","Tacinga inamoena",19.4893508657302,20.8319271754919,23.2565868373436,1329657,1329378,1601683
"605","Tacinga palmadora",15.1062551822464,17.2167853090469,12.2142918923279,892791,878485,631915
"606","Tacinga saxatilis",2.5125650954882,2.76689717731814,2.28455189102013,208476,315027,203161
"607","Tacinga subcylindrica",9.63544384871623,12.1182417333153,6.29818491089348,696677,726853,244902
"608","Tephrocactus alexanderi",15.3841220897888,16.2111568839326,4.01476918787924,527646,755797,231075
"609","Tephrocactus aoracanthus",12.7199548772882,12.399768502409,3.02245968147919,1043363,1058350,275449
"610","Tephrocactus verschaffeltii",15.6788997865135,16.4641171876716,17.0801805665574,463874,760388,1050178
"611","Tephrocactus weberi",9.13992664234622,9.72479338157834,8.78069559916745,176690,268995,587403
"612","Thelocactus bicolor",21.1624180357616,22.7886245649652,13.9248412655122,1600349,1512658,846782
"613","Thelocactus buekii",4.7505556959234,5.07753259447702,0.499149926645888,337745,536620,11986
"614","Thelocactus conothelos",9.4823178603335,10.0007517295148,4.41026756205524,834039,881960,177589
"615","Thelocactus hexaedrophorus",6.71306519178629,6.65490958079876,7.74397360006116,696656,445523,362761
"616","Thelocactus leucacanthus",3.34869713546551,3.32765629149448,2.01392053886521,391859,335342,179547
"617","Thelocactus rinconensis",6.27958587337029,6.40500241122661,5.19621136405856,608635,697226,290878
"618","Thelocactus setispinus",15.1999165161285,14.9559451938025,14.0425184315775,1031816,1084605,911050
"619","Thelocactus tulensis",1.62656185892465,1.83041660260663,0.985230954773651,146465,66144,14119
"620","Trichocereus bridgesii",15.6613203398642,16.7242860203459,5.91852045450644,673023,984789,329676
"621","Trichocereus cuzcoensis",14.171718932495,14.1526263530539,16.7487058606708,275942,490043,1211288
"622","Trichocereus macrogonus",43.7216536447487,43.894563412708,39.571960102224,1752814,2288002,3333954
"623","Trichocereus tacaquirensis",4.99600603218014,5.60454826421311,4.30099046451338,137050,257815,212894
"624","Turbinicarpus pseudopectinatus",4.85910600437361,5.26525962693382,0.705862685361259,486919,426161,15813
"625","Turbinicarpus valdezianus",1.76455348076904,1.72487623739006,1.45405247723321,245699,155643,75204
"626","Uebelmannia pectinifera",1.57119412304851,1.94458057906303,1.38591482618411,87794,118870,180866
"627","Weberbauerocereus cuzcoensis",8.37716801843527,8.73293286264202,9.20780585594028,192555,320347,569257
"628","Weberbauerocereus weberbaueri",3.36276601663458,3.53695328813293,1.53960452088185,48799,63031,143628
"629","Weingartia fidana",4.27144169591875,4.41493752971255,2.60384723221968,86359,140928,157469
"630","Weingartia neocumingii",7.44560617441166,8.22531627218301,3.42728467463371,470770,648157,119922
"631","Xiquexique gounellei",20.0258475766211,23.7193599641641,24.2188300320058,1399250,1449345,1479578
"632","Xiquexique tuberculatus",9.47711627530723,10.41800092319,6.97263900656958,559789,499149,301081
