"","NicheSize","NicheDensity","RangeSize100","RangeSize0","RangeChange100S1","RangeChange100S3","RangeChange100S5","RangeChange0S1","RangeChange0S3","RangeChange0S5"
"BM","4111.09015161814","14988.2020903626","14639.4561660991","14621.9842855534","1838.92624110873","2043.71148636306","2102.93764620677","1610.70850911286","1866.19498525907","1859.03037515506"
"OU","3724.17108145811","14577.9032106794","14408.550823403","14391.8131011087","1426.25486260963","1519.4780140268","1536.630464511","1081.35416893223","1194.6115479081","1206.46000914377"
"EB","4113.11714396732","14990.2290834702","14641.4826802995","14624.0107968601","1840.95313641886","2045.73856924887","2104.96478846619","1612.73560016743","1868.22226090197","1861.05763120352"
"LA","3673.05234292931","14547.3436812722","14415.1146071341","14398.8222958018","1426.21253113201","1516.14668483991","1529.97267208762","1080.76693335179","1185.66230970776","1196.57574857384"
"WN","3720.73440504454","14574.2615991765","14428.017906579","14412.09100954","1425.14612651169","1515.43747395807","1529.23683890418","1078.75752776976","1185.42499565536","1196.99210353447"
"minRow+3","LA","LA","OU","OU","OU, LA, WN","LA, WN","LA, WN","OU, LA, WN","LA, WN","LA, WN"
