"species","rangeSize100","rangeSize0","GCM","nicheSize","nicheDensity","rangeChange0_SSP1","rangeChange0_SSP3","rangeChange0_SSP5","rangeChange100_SSP1","rangeChange100_SSP3","rangeChange100_SSP5"
"Cylindropuntia anteojoensis",21594,8424,"GFDL-ESM4",0.428000360975188,33049,0,0,0,0,0,0
"Cylindropuntia arbuscula",251235,217330,"MPI-ESM1-2-HR",13.8836454842171,936658,1.06729397690149,1.33648368840013,1.33648368840013,1.15965530280415,1.45483312436563,1.45483312436563
"Cylindropuntia bernardina",66793,39715,"GFDL-ESM4",6.65519921018831,692233,1.81586302404633,1.88981493138613,1.07062822611104,2.44515143802494,2.57594358690282,1.73596035512703
"Cylindropuntia bigelovii",408276,359806,"MPI-ESM1-2-HR",18.5442112136907,1377679,1.27198267955509,1.37204493532626,1.26128802743701,1.34181778992642,1.51208986078045,1.36859869304098
"Cylindropuntia californica",88939,68572,"MPI-ESM1-2-HR",12.471038981896,854551,0.912398646677944,1.05694744210465,1.79745377121857,0.890295595857835,1.01715782727487,1.84364564476776
"Cylindropuntia calmalliana",45111,34844,"UKESM1-0-LL",7.19273776791357,422794,0.00212375157846401,0,0,0.0016847332136286,0,0
"Cylindropuntia caribaea",15435,11378,"UKESM1-0-LL",2.34485219107542,124445,0,0,0,0,0,0
"Cylindropuntia cholla",135845,131252,"MPI-ESM1-2-HR",13.5681093410828,1044492,0.987611617346783,0.988723981348856,1.05889434065767,0.987559350730612,0.98870035702455,1.06538334130811
"Cylindropuntia chuckwallensis",31824,5669,"UKESM1-0-LL",3.19913349948834,392902,1.05609454930323,1.05609454930323,1.05609454930323,1.53377953745601,1.57714303670186,1.48108345902464
"Cylindropuntia echinocarpa",478056,375484,"MPI-ESM1-2-HR",21.0221638982495,1781741,0.747488574746194,1.31155521939683,1.32944146754589,0.665647957561457,1.3567280820657,1.37550621684489
"Cylindropuntia fulgida",713698,678054,"UKESM1-0-LL",20.1881522427411,1917620,0.552023880103945,0.6529332472045,0.661490087810115,0.635775916424034,0.742704897589737,0.748588338484905
"Cylindropuntia ganderi",92018,76103,"MPI-ESM1-2-HR",8.22989024461863,627170,1.53762663758328,1.80195261684822,1.80195261684822,1.55502184355235,1.95843204590406,1.96284422612967
"Cylindropuntia imbricata",2160912,2126097,"GFDL-ESM4",44.913807618939,3253617,0.394805599180094,0.0269131652977263,0.0178378502956356,0.393583357397247,0.0269094715564539,0.017894296482226
"Cylindropuntia kleiniae",1460831,1400061,"GFDL-ESM4",20.9491183082464,1623863,0.786994280963472,0.0207398106225372,0.000266416963260886,0.792840513379029,0.019877042587404,0.000255334121469219
"Cylindropuntia leptocaulis",1757239,1646041,"MPI-ESM1-2-HR",41.2491090592129,2524276,1.42826393753254,1.50074755124569,1.50074755124569,1.4383643886802,1.54250844648907,1.54250844648907
"Cylindropuntia lindsayi",94768,85352,"MPI-ESM1-2-HR",5.76914862967674,515859,0.00209719748804949,0,0,0.00188882323147054,0,0
"Cylindropuntia molesta",97748,80805,"GFDL-ESM4",6.71781521707296,762015,1.27961141018501,1.28764309139286,1.2878410989419,1.3755064042231,1.38281090150182,1.38153210295863
"Cylindropuntia multigeniculata",61652,41874,"GFDL-ESM4",2.81095902834277,295157,1.74540287529254,1.74540287529254,1.74124755218035,2.66484461169143,2.66484461169143,2.6592973463959
"Cylindropuntia munzii",70040,45594,"MPI-ESM1-2-HR",6.75800441521561,627414,0,0,0,0,0,0
"Cylindropuntia prolifera",33741,23573,"UKESM1-0-LL",5.53285558854201,453896,2.15097781360031,1.99444279472278,2.50188775293768,2.68513084970807,2.65371506475801,3.18046293826502
"Cylindropuntia ramosissima",215653,202454,"MPI-ESM1-2-HR",18.4961797270087,1552810,1.355384433007,2.37924664368202,2.44044079148844,1.45068698325551,2.53391791442734,2.6574404251274
"Cylindropuntia tesajo",73729,41221,"UKESM1-0-LL",3.86904668542257,309938,0,0,0,0,0,0
"Cylindropuntia thurberi",331798,273002,"MPI-ESM1-2-HR",26.8186225182997,1777356,0.00556772477857305,0,0,0.00548526513119428,0,0
"Cylindropuntia tunicata",220427,198221,"GFDL-ESM4",13.9156045019308,1202404,1.32504124184622,1.8539811624399,1.90081272922647,1.35783275188611,2.02403970475486,2.08919506231088
"Cylindropuntia whipplei",416562,355104,"GFDL-ESM4",18.4204739159494,1643116,0.0593544426421555,0,0,0.123186944560474,0,0.00334644062588522
"Cylindropuntia wolfii",29607,9402,"MPI-ESM1-2-HR",4.69406290184974,452121,1.42001701765582,1.42001701765582,1.42001701765582,2.63917316850745,2.63917316850745,2.63917316850745
"Cylindropuntia x antoniae",139318,112686,"MPI-ESM1-2-HR",1.95443659707081,122279,0,0,0,0,0,0
"Cylindropuntia x parryi",30765,18100,"UKESM1-0-LL",3.22347854077427,334201,0.93646408839779,0.954475138121547,0.783149171270718,0.876157971721112,0.857695433122054,0.608971233544612
"Deamia testudo",503818,468191,"MPI-ESM1-2-HR",39.923552480885,2740011,1.21999568552151,1.32697339333733,1.30696660123753,1.23891564017165,1.3224716068104,1.32235450103013
"Discocactus placentiformis",52134,30065,"UKESM1-0-LL",0.908006225535808,128724,0.208681190753368,0.822750706801929,1.81596540828206,0.689166378946561,0.871580926075114,1.8733072467104
"Disocactus anguliger",101352,76293,"UKESM1-0-LL",5.81214322629518,345721,0.0101975279514503,0,0,0.0143460415186676,0,0
"Disocactus aurantiacus",2135,1210,"UKESM1-0-LL",1.50199951276773,128363,0.148760330578512,0.0115702479338843,0,0.131147540983607,0.00655737704918033,0
"Disocactus crenatus",411167,379422,"UKESM1-0-LL",28.3863568979498,1768344,0,0,0,0,0,0
